#gene_id	transcript_id	sprot_Top_BLASTX_hit	TrEMBL_Top_BLASTX_hit	RNAMMER	prot_id	prot_coords	sprot_Top_BLASTP_hit	TrEMBL_Top_BLASTP_hit	Pfam	SignalP	TmHMM	eggnog	gene_ontology_blast	gene_ontology_pfam	transcript	peptide
TRINITY_DN22301_c1_g1	TRINITY_DN22301_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22324_c0_g1	TRINITY_DN22324_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22366_c0_g1	TRINITY_DN22366_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22342_c0_g1	TRINITY_DN22342_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22342_c0_g2	TRINITY_DN22342_c0_g2_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22342_c1_g1	TRINITY_DN22342_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22325_c0_g1	TRINITY_DN22325_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22325_c1_g1	TRINITY_DN22325_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22341_c0_g1	TRINITY_DN22341_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22341_c0_g2	TRINITY_DN22341_c0_g2_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22368_c1_g1	TRINITY_DN22368_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22340_c0_g1	TRINITY_DN22340_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22381_c0_g1	TRINITY_DN22381_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22381_c0_g2	TRINITY_DN22381_c0_g2_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22362_c0_g1	TRINITY_DN22362_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22362_c0_g2	TRINITY_DN22362_c0_g2_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22306_c0_g1	TRINITY_DN22306_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22344_c0_g1	TRINITY_DN22344_c0_g1_i1	.	.	.	TRINITY_DN22344_c0_g1_i1|m.7	284-1261[+]	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22344_c0_g1	TRINITY_DN22344_c0_g1_i2	.	tr|I3K6C4|I3K6C4_ORENI^tr|I3K6C4|I3K6C4_ORENI^Q:284-1453	H:1-381^80.15%ID^E:0^.^.	.	TRINITY_DN22344_c0_g1_i2|m.9	284-1453[+]	.	tr|I3K6C4|I3K6C4_ORENI^tr|I3K6C4|I3K6C4_ORENI^Q:1-390	H:1-381^82.7%ID^E:0^.^.	PF00096.21^zf-C2H2^Zinc finger	 C2H2 type^346-370^E:0.021`PF13465.1^zf-H2C2_2^Zinc-finger double domain^362-379^E:0.00025	.	.	.	.	GO:0046872^molecular_function^metal ion binding	.	.
TRINITY_DN22380_c0_g1	TRINITY_DN22380_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22331_c0_g1	TRINITY_DN22331_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22331_c0_g2	TRINITY_DN22331_c0_g2_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22331_c1_g1	TRINITY_DN22331_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22350_c0_g1	TRINITY_DN22350_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22350_c1_g1	TRINITY_DN22350_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22360_c0_g1	TRINITY_DN22360_c0_g1_i1	.	.	.	TRINITY_DN22360_c0_g1_i1|m.11	3-464[-]	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22360_c1_g1	TRINITY_DN22360_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22360_c2_g1	TRINITY_DN22360_c2_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22370_c0_g1	TRINITY_DN22370_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22370_c0_g2	TRINITY_DN22370_c0_g2_i1	.	.	.	TRINITY_DN22370_c0_g2_i1|m.13	1-1479[-]	.	.	PF13894.1^zf-C2H2_4^C2H2-type zinc finger^311-332^E:0.014`PF00096.21^zf-C2H2^Zinc finger	 C2H2 type^312-332^E:0.0026`PF13894.1^zf-C2H2_4^C2H2-type zinc finger^338-361^E:0.89	.	.	.	.	GO:0046872^molecular_function^metal ion binding	.	.
TRINITY_DN22370_c0_g2	TRINITY_DN22370_c0_g2_i1	.	.	.	TRINITY_DN22370_c0_g2_i1|m.14	241-582[+]	.	.	.	.	ExpAA=40.98^PredHel=2^Topology=o15-34i41-63o	.	.	.	.	.
TRINITY_DN22319_c0_g1	TRINITY_DN22319_c0_g1_i1	.	.	.	TRINITY_DN22319_c0_g1_i1|m.15	3-797[-]	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22319_c1_g1	TRINITY_DN22319_c1_g1_i1	.	.	.	TRINITY_DN22319_c1_g1_i1|m.17	3-431[-]	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22319_c2_g1	TRINITY_DN22319_c2_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22319_c3_g1	TRINITY_DN22319_c3_g1_i1	.	.	.	TRINITY_DN22319_c3_g1_i1|m.19	135-476[+]	.	.	PF00536.25^SAM_1^SAM domain (Sterile alpha motif)^4-35^E:2.1e-05	.	.	.	.	.	.	.
TRINITY_DN22391_c0_g1	TRINITY_DN22391_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22315_c0_g1	TRINITY_DN22315_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22302_c0_g1	TRINITY_DN22302_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22364_c0_g1	TRINITY_DN22364_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22367_c0_g1	TRINITY_DN22367_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22382_c0_g1	TRINITY_DN22382_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22398_c0_g1	TRINITY_DN22398_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22398_c1_g1	TRINITY_DN22398_c1_g1_i1	.	.	.	TRINITY_DN22398_c1_g1_i1|m.20	1-297[+]	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22398_c2_g1	TRINITY_DN22398_c2_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22396_c0_g1	TRINITY_DN22396_c0_g1_i1	.	.	.	TRINITY_DN22396_c0_g1_i1|m.21	3-509[-]	.	.	PF00620.22^RhoGAP^RhoGAP domain^47-169^E:4.8e-25	.	.	.	.	GO:0007165^biological_process^signal transduction	.	.
TRINITY_DN22396_c1_g1	TRINITY_DN22396_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22396_c2_g1	TRINITY_DN22396_c2_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22359_c0_g1	TRINITY_DN22359_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22358_c0_g1	TRINITY_DN22358_c0_g1_i1	.	.	.	TRINITY_DN22358_c0_g1_i1|m.22	1-342[-]	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22358_c1_g1	TRINITY_DN22358_c1_g1_i1	.	.	.	TRINITY_DN22358_c1_g1_i1|m.24	3-338[-]	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22372_c0_g1	TRINITY_DN22372_c0_g1_i1	.	.	.	TRINITY_DN22372_c0_g1_i1|m.25	1-444[+]	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22372_c0_g1	TRINITY_DN22372_c0_g1_i2	.	.	.	TRINITY_DN22372_c0_g1_i2|m.26	1-423[+]	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22372_c1_g1	TRINITY_DN22372_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22369_c0_g1	TRINITY_DN22369_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22338_c0_g1	TRINITY_DN22338_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22305_c0_g1	TRINITY_DN22305_c0_g1_i1	.	.	.	TRINITY_DN22305_c0_g1_i1|m.27	2-391[+]	.	.	PF00145.12^DNA_methylase^C-5 cytosine-specific DNA methylase^11-94^E:5.7e-11	.	.	.	.	.	.	.
TRINITY_DN22383_c0_g1	TRINITY_DN22383_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22339_c1_g1	TRINITY_DN22339_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22320_c0_g1	TRINITY_DN22320_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22320_c0_g2	TRINITY_DN22320_c0_g2_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22312_c0_g1	TRINITY_DN22312_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22312_c0_g2	TRINITY_DN22312_c0_g2_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22312_c0_g3	TRINITY_DN22312_c0_g3_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22374_c0_g1	TRINITY_DN22374_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22332_c0_g1	TRINITY_DN22332_c0_g1_i1	.	.	.	TRINITY_DN22332_c0_g1_i1|m.28	3-1031[+]	.	.	PF07894.7^DUF1669^Protein of unknown function (DUF1669)^1-136^E:1.9e-60`PF13091.1^PLDc_2^PLD-like domain^2-127^E:2.5e-06	.	.	.	.	.	.	.
TRINITY_DN22332_c1_g1	TRINITY_DN22332_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22390_c0_g1	TRINITY_DN22390_c0_g1_i1	.	.	.	TRINITY_DN22390_c0_g1_i1|m.30	370-1698[-]	.	.	PF00665.21^rve^Integrase core domain^3-73^E:2.9e-13	.	.	.	.	GO:0015074^biological_process^DNA integration	.	.
TRINITY_DN22390_c1_g1	TRINITY_DN22390_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22337_c0_g1	TRINITY_DN22337_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22334_c0_g1	TRINITY_DN22334_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22334_c0_g2	TRINITY_DN22334_c0_g2_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22334_c1_g1	TRINITY_DN22334_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22328_c0_g1	TRINITY_DN22328_c0_g1_i1	.	.	.	TRINITY_DN22328_c0_g1_i1|m.31	295-669[-]	.	.	PF00530.13^SRCR^Scavenger receptor cysteine-rich domain^31-123^E:1.6e-26	.	.	.	.	GO:0005044^molecular_function^scavenger receptor activity`GO:0016020^cellular_component^membrane	.	.
TRINITY_DN22328_c1_g1	TRINITY_DN22328_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22354_c0_g1	TRINITY_DN22354_c0_g1_i1	.	.	.	TRINITY_DN22354_c0_g1_i1|m.32	1-630[-]	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22354_c1_g1	TRINITY_DN22354_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22318_c0_g1	TRINITY_DN22318_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22385_c0_g1	TRINITY_DN22385_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22333_c0_g1	TRINITY_DN22333_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22333_c0_g2	TRINITY_DN22333_c0_g2_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22308_c0_g1	TRINITY_DN22308_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22308_c0_g2	TRINITY_DN22308_c0_g2_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22308_c1_g1	TRINITY_DN22308_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22314_c0_g1	TRINITY_DN22314_c0_g1_i1	.	.	.	TRINITY_DN22314_c0_g1_i1|m.33	3-473[+]	.	.	PF01390.15^SEA^SEA domain^7-101^E:3.1e-10	.	.	.	.	.	.	.
TRINITY_DN22314_c0_g2	TRINITY_DN22314_c0_g2_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22314_c1_g1	TRINITY_DN22314_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22348_c0_g1	TRINITY_DN22348_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22336_c0_g1	TRINITY_DN22336_c0_g1_i1	.	.	.	TRINITY_DN22336_c0_g1_i1|m.34	1-573[+]	.	.	PF00041.16^fn3^Fibronectin type III domain^15-90^E:1.5e-08`PF00041.16^fn3^Fibronectin type III domain^109-179^E:1.3e-10	.	.	.	.	GO:0005515^molecular_function^protein binding	.	.
TRINITY_DN22336_c0_g2	TRINITY_DN22336_c0_g2_i1	.	.	.	TRINITY_DN22336_c0_g2_i1|m.36	1-573[+]	.	.	PF00041.16^fn3^Fibronectin type III domain^15-90^E:1.5e-08`PF00041.16^fn3^Fibronectin type III domain^111-179^E:2.1e-10	.	.	.	.	GO:0005515^molecular_function^protein binding	.	.
TRINITY_DN22336_c1_g1	TRINITY_DN22336_c1_g1_i1	.	.	.	TRINITY_DN22336_c1_g1_i1|m.38	3-344[-]	.	.	PF00041.16^fn3^Fibronectin type III domain^8-80^E:1.2e-13	.	.	.	.	GO:0005515^molecular_function^protein binding	.	.
TRINITY_DN22300_c0_g1	TRINITY_DN22300_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22346_c0_g1	TRINITY_DN22346_c0_g1_i1	.	.	.	TRINITY_DN22346_c0_g1_i1|m.40	3-557[-]	.	.	PF01532.15^Glyco_hydro_47^Glycosyl hydrolase family 47^121-185^E:6.6e-25	.	.	.	.	GO:0004571^molecular_function^mannosyl-oligosaccharide 1	2-alpha-mannosidase activity`GO:0005509^molecular_function^calcium ion binding`GO:0016020^cellular_component^membrane	.	.
TRINITY_DN22346_c1_g1	TRINITY_DN22346_c1_g1_i1	.	.	.	TRINITY_DN22346_c1_g1_i1|m.41	3-581[-]	.	.	PF01532.15^Glyco_hydro_47^Glycosyl hydrolase family 47^3-192^E:2e-62	.	.	.	.	GO:0004571^molecular_function^mannosyl-oligosaccharide 1	2-alpha-mannosidase activity`GO:0005509^molecular_function^calcium ion binding`GO:0016020^cellular_component^membrane	.	.
TRINITY_DN22394_c0_g1	TRINITY_DN22394_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22394_c1_g1	TRINITY_DN22394_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22330_c0_g1	TRINITY_DN22330_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22330_c0_g2	TRINITY_DN22330_c0_g2_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22330_c1_g1	TRINITY_DN22330_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22386_c0_g1	TRINITY_DN22386_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22386_c1_g1	TRINITY_DN22386_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22349_c0_g1	TRINITY_DN22349_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22395_c0_g1	TRINITY_DN22395_c0_g1_i1	.	tr|A0A087XRZ9|A0A087XRZ9_POEFO^tr|A0A087XRZ9|A0A087XRZ9_POEFO^Q:1551-487	H:64-418^93.52%ID^E:0^.^.	.	TRINITY_DN22395_c0_g1_i1|m.43	484-1554[-]	.	tr|A0A087XRZ9|A0A087XRZ9_POEFO^tr|A0A087XRZ9|A0A087XRZ9_POEFO^Q:2-356	H:64-418^93.52%ID^E:0^.^.	PF00688.13^TGFb_propeptide^TGF-beta propeptide^2-165^E:1.2e-23`PF00019.15^TGF_beta^Transforming growth factor beta like domain^257-356^E:8.7e-28	.	.	.	.	GO:0008083^molecular_function^growth factor activity`GO:0040007^biological_process^growth	.	.
TRINITY_DN22357_c0_g1	TRINITY_DN22357_c0_g1_i1	.	.	.	TRINITY_DN22357_c0_g1_i1|m.44	3-302[+]	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22357_c0_g2	TRINITY_DN22357_c0_g2_i1	.	.	.	TRINITY_DN22357_c0_g2_i1|m.45	3-311[+]	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22357_c1_g1	TRINITY_DN22357_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22322_c0_g1	TRINITY_DN22322_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22322_c0_g2	TRINITY_DN22322_c0_g2_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN27899_c0_g1	TRINITY_DN27899_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN27899_c0_g2	TRINITY_DN27899_c0_g2_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN27857_c0_g1	TRINITY_DN27857_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN27857_c0_g1	TRINITY_DN27857_c0_g1_i2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN27848_c0_g1	TRINITY_DN27848_c0_g1_i1	.	.	.	TRINITY_DN27848_c0_g1_i1|m.47	771-1193[-]	.	.	.	.	.	.	.	.	.	.
TRINITY_DN27877_c0_g1	TRINITY_DN27877_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN27809_c0_g1	TRINITY_DN27809_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN27809_c1_g1	TRINITY_DN27809_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
